"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"M&amp;M","22-Jan-2004","29-Jan-2004","375","387.45","355","360.7","361","360.7","3938","36624.14","3060000","-685000","        361.95"
"M&amp;M","22-Jan-2004","26-Feb-2004","382.4","393","361","362.7","361.3","362.7","97","913.27","182500","62500","        361.95"
"M&amp;M","22-Jan-2004","25-Mar-2004","0","0","0","404","404","365.1","0","0","2500","0","        361.95"
"M&amp;M","23-Jan-2004","29-Jan-2004","374","410","363","407.05","409","407.05","3237","31118.96","2905000","-155000","        406.20"
"M&amp;M","23-Jan-2004","26-Feb-2004","375","413.7","368.6","411.7","412","411.7","156","1511.06","235000","52500","        406.20"
"M&amp;M","23-Jan-2004","25-Mar-2004","0","0","0","404","404","409.65","0","0","2500","0","        406.20"
"M&amp;M","27-Jan-2004","29-Jan-2004","412.6","422.8","405","421.4","421.3","421.4","2909","30251.02","2072500","-832500","        421.10"
"M&amp;M","27-Jan-2004","26-Feb-2004","412.7","427","409.1","425.3","425.9","425.3","600","6299.15","1087500","852500","        421.10"
"M&amp;M","27-Jan-2004","25-Mar-2004","407","429","407","412","412","424.5","4","41.83","2500","0","        421.10"
"M&amp;M","28-Jan-2004","29-Jan-2004","421","427.5","393.25","403.25","409","403.25","4027","41353.47","1340000","-732500","        403.45"
"M&amp;M","28-Jan-2004","26-Feb-2004","425","431.45","395.05","405.85","410.5","405.85","971","10049.55","1882500","795000","        403.45"
"M&amp;M","28-Jan-2004","25-Mar-2004","0","0","0","412","412","406.65","0","0","2500","0","        403.45"
"M&amp;M","29-Jan-2004","29-Jan-2004","405","418","393.15","405.95","405.2","405.65","2315","23521.51","525000","-815000","        405.65"
"M&amp;M","29-Jan-2004","26-Feb-2004","407","419.25","395.4","408.5","411","408.5","1513","15472.84","2735000","852500","        405.65"
"M&amp;M","29-Jan-2004","25-Mar-2004","408","416","408","416","416","408.8","2","20.6","2500","0","        405.65"
"M&amp;M","30-Jan-2004","26-Feb-2004","409","420","393.15","409.2","413.5","409.2","6078","62088.5","2587500","-147500","        409.25"
"M&amp;M","30-Jan-2004","25-Mar-2004","422","422","415","415","415","415","2","20.93","2500","0","        409.25"
"M&amp;M","30-Jan-2004","29-Apr-2004","0","0","0","410.75","0","414.35","0","0","0","0","        409.25"
"M&amp;M","03-Feb-2004","26-Feb-2004","414.9","429.7","406","410.6","416","410.6","5742","59901.32","2180000","-407500","        411.80"
"M&amp;M","03-Feb-2004","25-Mar-2004","416","427.8","401.15","416.2","419","416.2","11","113.97","7500","5000","        411.80"
