"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"M&amp;M","26-Dec-2007","28-Feb-2008","0","0","0","800","800","846.7","0","0","312","0","        833.90"
"M&amp;M","27-Dec-2007","27-Dec-2007","843","846","828.1","834.95","833.25","833.1","2770","7239.99","172536","-596544","        833.10"
"M&amp;M","27-Dec-2007","31-Jan-2008","846.9","851.9","832.1","840.65","840","840.65","2880","7588.1","1489176","558480","        833.10"
"M&amp;M","27-Dec-2007","28-Feb-2008","0","0","0","800","800","845.65","0","0","312","0","        833.10"
"M&amp;M","28-Dec-2007","31-Jan-2008","839.7","850","832","847.8","846.1","847.8","1504","3963.79","1597440","108264","        835.75"
"M&amp;M","28-Dec-2007","28-Feb-2008","860.85","860.85","835.25","835.25","835.25","848.15","3","7.91","312","0","        835.75"
"M&amp;M","28-Dec-2007","27-Mar-2008","0","0","0","851.3","0","853.8","0","0","0","0","        835.75"
"M&amp;M","31-Dec-2007","31-Jan-2008","847.05","882","845","875.25","871","875.25","3199","8658.14","1729104","131664","        861.95"
"M&amp;M","31-Dec-2007","28-Feb-2008","886","886","873","879.5","879.5","879.5","7","19.24","936","624","        861.95"
"M&amp;M","31-Dec-2007","27-Mar-2008","0","0","0","851.3","0","879.75","0","0","0","0","        861.95"
