"Trade Date","Instrument","Symbol","Expiry Date","Open Price","High Price","Low Price","Close Price","Daily Settlement Price","Open Interest(OI)","No. of Contracts","Turnover ( Rs.)"
"07-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3932.00","    3945.00","    3893.00","    3942.00","    3921.00","               53","             104","             4.08"
"06-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    4016.00","    4024.00","    3890.00","    3926.00","    3975.00","               67","             149","             5.87"
"05-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3900.00","    4012.00","    3871.00","    4004.00","    3963.00","               40","             160","             6.33"
"04-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3903.00","    3965.00","    3903.00","    3905.00","    3950.00","               20","             131","             5.14"
"30-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4236.00","    4236.00","    4201.00","    4204.00","    4181.00","                5","              13","             0.55"
"30-Jan-2020","FUTENR","BRCRUDE","28-02-2020","    4170.00","    4176.00","    4155.00","    4155.00","    4199.00","               14","              20","             0.83"
"29-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4288.00","    4292.00","    4267.00","    4267.00","    4276.00","                5","               7","             0.30"
"28-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4232.00","    4275.00","    4181.00","    4275.00","    4212.00","                0","              30","             1.27"
"27-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4201.00","    4262.00","    4197.00","    4258.00","    4210.00","                1","              12","             0.51"
"24-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4442.00","    4442.00","    4359.00","    4359.00","    4415.00","                5","              19","             0.83"
"23-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4444.00","    4446.00","    4436.00","    4436.00","    4457.00","                4","               3","             0.13"
"22-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4573.00","    4585.00","    4495.00","    4498.00","    4586.00","                3","              26","             1.19"
"21-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4593.00","    4593.00","    4574.00","    4577.00","    4590.00","                1","              14","             0.64"
"20-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4671.00","    4671.00","    4639.00","    4639.00","    4647.00","                3","               5","             0.23"
"17-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4592.00","    4635.00","    4592.00","    4634.00","    4631.00","                0","               6","             0.28"
"16-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4575.00","    4577.00","    4566.00","    4566.00","    4567.00","                0","               8","             0.37"
"15-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4558.00","    4559.00","    4555.00","    4555.00","    4587.00","                2","               9","             0.41"
"14-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4553.00","    4592.00","    4540.00","    4585.00","    4603.00","                1","              13","             0.59"
"13-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4605.00","    4605.00","    4554.00","    4554.00","    4616.00","                2","               4","             0.18"
"10-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4639.00","    4660.00","    4619.00","    4634.00","    4674.00","                2","              12","             0.56"
"09-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4671.00","    4677.00","    4659.00","    4661.00","    4706.00","                2","              21","             0.98"
"08-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4936.00","    4936.00","    4738.00","    4738.00","    4961.00","                1","               4","             0.19"
"07-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4917.00","    4934.00","    4895.00","    4895.00","    4933.00","                3","              14","             0.69"
"06-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    5065.00","    5065.00","    5014.00","    5014.00","    5036.00","                1","              12","             0.60"
"03-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4891.00","    4891.00","    4890.00","    4890.00","    4970.00","                5","               2","             0.10"
"02-Jan-2020","FUTENR","BRCRUDE","31-01-2020","    4738.00","    4738.00","    4734.00","    4736.00","    4760.00","                3","               9","             0.43"
