"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","11-Oct-2019","        566.05","        568.55","        574.30","        554.10","        559.75","        560.10","        561.31","    3133395","          1758805040.75","      56926","    1023554","         32.67"
"M&amp;M","EQ","14-Oct-2019","        560.10","        562.90","        572.35","        554.55","        567.80","        568.65","        565.05","    2630640","          1486452774.75","      38514","     715525","         27.20"
"M&amp;M","EQ","15-Oct-2019","        568.65","        568.00","        586.55","        565.20","        582.50","        583.40","        579.97","    4967499","          2880983449.00","      56680","    1439677","         28.98"
"M&amp;M","EQ","16-Oct-2019","        583.40","        582.50","        586.90","        575.35","        583.40","        584.25","        581.04","    2279203","          1324297309.95","      55728","     499405","         21.91"
"M&amp;M","EQ","17-Oct-2019","        584.25","        581.10","        596.35","        578.75","        589.00","        593.30","        589.45","    3744228","          2207027172.05","      93157","    1426368","         38.10"
"M&amp;M","EQ","18-Oct-2019","        593.30","        589.00","        595.50","        583.60","        594.20","        593.30","        590.14","    2955289","          1744023900.10","      64281","     963720","         32.61"
"M&amp;M","EQ","22-Oct-2019","        593.30","        593.40","        601.20","        587.45","        596.85","        595.80","        595.39","    3494913","          2080826562.10","      69733","    1415725","         40.51"
"M&amp;M","EQ","23-Oct-2019","        595.80","        596.90","        599.65","        587.15","        591.55","        591.85","        593.99","    2371317","          1408543119.15","      55265","    1049288","         44.25"
"M&amp;M","EQ","24-Oct-2019","        591.85","        592.00","        595.50","        578.60","        582.00","        581.05","        584.51","    2212393","          1293170405.90","      48698","     657937","         29.74"
"M&amp;M","EQ","25-Oct-2019","        581.05","        585.70","        585.70","        570.25","        576.75","        577.70","        575.81","    2284548","          1315464389.60","      50533","     720007","         31.52"
"M&amp;M","EQ","27-Oct-2019","        577.70","        584.45","        595.00","        580.00","        589.50","        591.50","        589.28","     852012","           502076389.50","      15271","     154974","         18.19"
"M&amp;M","EQ","29-Oct-2019","        591.50","        595.45","        618.00","        592.50","        610.10","        611.80","        608.48","    6543163","          3981356331.25","      96302","    2839508","         43.40"
"M&amp;M","EQ","30-Oct-2019","        611.80","        617.20","        619.90","        605.00","        618.00","        616.55","        612.78","    4296705","          2632937408.20","      66355","    2165298","         50.39"
"M&amp;M","EQ","31-Oct-2019","        616.55","        617.60","        621.65","        603.75","        606.00","        606.45","        609.24","    4595842","          2799953746.60","      83216","    2227601","         48.47"
"M&amp;M","EQ","01-Nov-2019","        606.45","        609.00","        609.75","        581.00","        590.00","        589.75","        591.99","    7558094","          4474325802.05","     134414","    3443121","         45.56"
"M&amp;M","EQ","04-Nov-2019","        589.75","        591.00","        594.55","        581.90","        585.40","        586.40","        587.64","    3128961","          1838717478.30","      62578","    1168924","         37.36"
"M&amp;M","EQ","05-Nov-2019","        586.40","        583.30","        590.60","        577.10","        579.00","        580.15","        583.04","    2653917","          1547334834.50","      55723","     974638","         36.72"
"M&amp;M","EQ","06-Nov-2019","        580.15","        590.25","        590.30","        577.10","        578.00","        579.80","        581.92","    2763550","          1608159177.50","      62094","     710248","         25.70"
"M&amp;M","EQ","07-Nov-2019","        579.80","        579.80","        583.50","        572.00","        580.05","        580.35","        578.01","    3279435","          1895531479.30","      53215","    1332390","         40.63"
"M&amp;M","EQ","08-Nov-2019","        580.35","        578.00","        596.50","        576.85","        581.90","        580.00","        588.59","    8374614","          4929242009.70","     110648","    1145530","         13.68"
"M&amp;M","EQ","11-Nov-2019","        580.00","        581.70","        586.95","        570.00","        576.15","        575.00","        576.60","    3492576","          2013813190.55","      55706","     863822","         24.73"
"M&amp;M","EQ","13-Nov-2019","        575.00","        574.00","        580.90","        572.00","        573.05","        574.70","        576.22","    3342543","          1926043380.25","      82429","    1575005","         47.12"
"M&amp;M","EQ","14-Nov-2019","        574.70","        575.20","        579.65","        567.75","        579.00","        578.45","        574.90","    2193683","          1261150889.70","      38502","     851844","         38.83"
"M&amp;M","EQ","15-Nov-2019","        578.45","        583.75","        590.85","        579.75","        581.80","        583.05","        586.13","    3063043","          1795356520.95","      55499","    1204048","         39.31"
"M&amp;M","EQ","18-Nov-2019","        583.05","        580.10","        582.60","        571.80","        573.40","        573.70","        574.68","    3212994","          1846430162.25","      67530","    1777776","         55.33"
"M&amp;M","EQ","19-Nov-2019","        573.70","        573.75","        575.00","        559.65","        561.00","        560.65","        564.14","    3208662","          1810128272.25","      72159","    1494339","         46.57"
"M&amp;M","EQ","20-Nov-2019","        560.65","        562.25","        568.45","        557.50","        560.15","        560.45","        563.15","    2876499","          1619888191.95","      68274","     966699","         33.61"
"M&amp;M","EQ","21-Nov-2019","        560.45","        560.50","        562.65","        550.20","        550.90","        551.80","        554.81","    3346254","          1856532141.90","      48636","    1709428","         51.08"
"M&amp;M","EQ","22-Nov-2019","        551.80","        554.75","        555.00","        539.20","        545.85","        546.00","        544.65","    2798026","          1523945570.05","      58740","    1040126","         37.17"
"M&amp;M","EQ","25-Nov-2019","        546.00","        547.50","        552.85","        546.25","        547.80","        547.80","        548.99","    3054435","          1676859970.95","      39485","    1375084","         45.02"
"M&amp;M","EQ","26-Nov-2019","        547.80","        550.00","        552.90","        536.95","        538.25","        538.60","        542.15","    4408905","          2390275706.00","      60523","    2862409","         64.92"
"M&amp;M","EQ","27-Nov-2019","        538.60","        542.00","        554.50","        535.00","        540.70","        539.95","        544.59","    6630809","          3611052663.85","      89175","    2345695","         35.38"
"M&amp;M","EQ","28-Nov-2019","        539.95","        541.90","        543.30","        536.25","        541.65","        541.95","        540.28","    2426425","          1310955599.75","      63138","     781656","         32.21"
"M&amp;M","EQ","29-Nov-2019","        541.95","        543.00","        543.80","        528.25","        529.65","        530.55","        534.04","    3328894","          1777746404.75","      81277","    1370880","         41.18"
